sector,watchlist_ticker,sec_current_ticker,sec_company_title,cik,note
AI hardware / semis / cloud infra,NVDA,NVDA,NVIDIA CORP,0001045810,
AI hardware / semis / cloud infra,AMD,AMD,ADVANCED MICRO DEVICES INC,0000002488,
AI hardware / semis / cloud infra,AVGO,AVGO,Broadcom Inc.,0001730168,
AI hardware / semis / cloud infra,TXN,TXN,TEXAS INSTRUMENTS INC,0000097476,
AI hardware / semis / cloud infra,MU,MU,MICRON TECHNOLOGY INC,0000723125,
AI hardware / semis / cloud infra,MRVL,MRVL,"Marvell Technology, Inc.",0001835632,
AI hardware / semis / cloud infra,ANET,ANET,"Arista Networks, Inc.",0001596532,
AI hardware / semis / cloud infra,VRT,VRT,Vertiv Holdings Co,0001674101,
AI hardware / semis / cloud infra,SMCI,SMCI,"Super Micro Computer, Inc.",0001375365,
AI hardware / semis / cloud infra,DELL,DELL,Dell Technologies Inc.,0001571996,
AI hardware / semis / cloud infra,HPE,HPE,Hewlett Packard Enterprise Co,0001645590,
AI hardware / semis / cloud infra,AMAT,AMAT,APPLIED MATERIALS INC /DE,0000006951,
AI hardware / semis / cloud infra,LRCX,LRCX,LAM RESEARCH CORP,0000707549,
AI hardware / semis / cloud infra,KLAC,KLAC,KLA CORP,0000319201,
AI hardware / semis / cloud infra,CSCO,CSCO,"CISCO SYSTEMS, INC.",0000858877,
Automotive / EV supply chain,TSLA,TSLA,"Tesla, Inc.",0001318605,
Automotive / EV supply chain,GM,GM,General Motors Co,0001467858,
Automotive / EV supply chain,F,F,FORD MOTOR CO,0000037996,
Automotive / EV supply chain,RIVN,RIVN,"Rivian Automotive, Inc. / DE",0001874178,
Automotive / EV supply chain,LCID,LCID,"Lucid Group, Inc.",0001811210,
Automotive / EV supply chain,DAN,DAN,DANA Inc,0000026780,
Automotive / EV supply chain,APTV,APTV,Aptiv PLC,0001521332,
Automotive / EV supply chain,BWA,BWA,BORGWARNER INC,0000908255,
Automotive / EV supply chain,LEA,LEA,LEAR CORP,0000842162,
Automotive / EV supply chain,ADNT,ADNT,Adient plc,0001670541,
Automotive / EV supply chain,GNTX,GNTX,GENTEX CORP,0000355811,
Automotive / EV supply chain,PCAR,PCAR,PACCAR INC,0000075362,
Automotive / EV supply chain,ALB,ALB,ALBEMARLE CORP,0000915913,
Homebuilders / building materials,DHI,DHI,HORTON D R INC /DE/,0000882184,
Homebuilders / building materials,LEN,LEN,LENNAR CORP /NEW/,0000920760,
Homebuilders / building materials,PHM,PHM,PULTEGROUP INC/MI/,0000822416,
Homebuilders / building materials,NVR,NVR,NVR INC,0000906163,
Homebuilders / building materials,TOL,TOL,"Toll Brothers, Inc.",0000794170,
Homebuilders / building materials,BLDR,BLDR,"Builders FirstSource, Inc.",0001316835,
Homebuilders / building materials,MAS,MAS,MASCO CORP /DE/,0000062996,
Homebuilders / building materials,FBIN,FBIN,"Fortune Brands Innovations, Inc.",0001519751,
Homebuilders / building materials,VMC,VMC,Vulcan Materials CO,0001396009,
Homebuilders / building materials,MLM,MLM,MARTIN MARIETTA MATERIALS INC,0000916076,
Homebuilders / building materials,SHW,SHW,SHERWIN WILLIAMS CO,0000089800,
Homebuilders / building materials,MHK,MHK,MOHAWK INDUSTRIES INC,0000851968,
Consumer retail / apparel supply chains,NKE,NKE,"NIKE, Inc.",0000320187,
Consumer retail / apparel supply chains,LULU,LULU,lululemon athletica inc.,0001397187,
Consumer retail / apparel supply chains,VFC,VFC,V F CORP,0000103379,
Consumer retail / apparel supply chains,DECK,DECK,DECKERS OUTDOOR CORP,0000910521,
Consumer retail / apparel supply chains,TJX,TJX,TJX COMPANIES INC /DE/,0000109198,
Consumer retail / apparel supply chains,ROST,ROST,"ROSS STORES, INC.",0000745732,
Consumer retail / apparel supply chains,TGT,TGT,TARGET CORP,0000027419,
Consumer retail / apparel supply chains,GPS,GAP,GAP INC,0000039911,"watchlist ticker per CANDIDATE_UNIVERSE_V1.md; SEC's current ticker for this CIK is GAP (renamed, confirmed via SEC submissions API)"
Consumer retail / apparel supply chains,UAA,UAA,"Under Armour, Inc.",0001336917,
Consumer retail / apparel supply chains,COLM,COLM,COLUMBIA SPORTSWEAR CO,0001050797,
Consumer retail / apparel supply chains,CROX,CROX,"Crocs, Inc.",0001334036,
Industrials / capital equipment,CAT,CAT,CATERPILLAR INC,0000018230,
Industrials / capital equipment,DE,DE,DEERE & CO,0000315189,
Industrials / capital equipment,HON,HON,HONEYWELL INTERNATIONAL INC,0000773840,
Industrials / capital equipment,PH,PH,Parker-Hannifin Corp,0000076334,
Industrials / capital equipment,ITW,ITW,ILLINOIS TOOL WORKS INC,0000049826,
Industrials / capital equipment,ETN,ETN,Eaton Corp plc,0001551182,
Industrials / capital equipment,EMR,EMR,EMERSON ELECTRIC CO,0000032604,
Industrials / capital equipment,ROK,ROK,"ROCKWELL AUTOMATION, INC",0001024478,
Industrials / capital equipment,CMI,CMI,CUMMINS INC,0000026172,
Industrials / capital equipment,DOV,DOV,DOVER Corp,0000029905,
Industrials / capital equipment,IR,IR,Ingersoll Rand Inc.,0001699150,
Industrials / capital equipment,XYL,XYL,Xylem Inc.,0001524472,
Energy / oilfield services,XOM,XOM,ExxonMobil Holdings Corp,0002115436,"SEC ticker XOM moved to a new CIK in 2026 (holding-company reorganization) -- the historic Exxon Mobil Corp CIK 0000034088 no longer carries the ticker. Seeded under CIK 0002115436 (ExxonMobil Holdings Corp), confirmed via SEC's live submissions API as the entity actively filing 8-Ks under NYSE:XOM today."
Energy / oilfield services,CVX,CVX,CHEVRON CORP,0000093410,
Energy / oilfield services,SLB,SLB,SLB LIMITED/NV,0000087347,
Energy / oilfield services,HAL,HAL,HALLIBURTON CO,0000045012,
Energy / oilfield services,BKR,BKR,Baker Hughes Co,0001701605,
Energy / oilfield services,COP,COP,CONOCOPHILLIPS,0001163165,
Energy / oilfield services,OXY,OXY,OCCIDENTAL PETROLEUM CORP /DE/,0000797468,
Energy / oilfield services,EOG,EOG,EOG RESOURCES INC,0000821189,
Energy / oilfield services,FANG,FANG,"Diamondback Energy, Inc.",0001539838,
Energy / oilfield services,DVN,DVN,DEVON ENERGY CORP/DE,0001090012,
Energy / oilfield services,MPC,MPC,Marathon Petroleum Corp,0001510295,
Energy / oilfield services,PSX,PSX,Phillips 66,0001534701,
Healthcare / pharma & medtech,LLY,LLY,ELI LILLY & Co,0000059478,
Healthcare / pharma & medtech,ABBV,ABBV,AbbVie Inc.,0001551152,
Healthcare / pharma & medtech,PFE,PFE,PFIZER INC,0000078003,
Healthcare / pharma & medtech,MRK,MRK,"Merck & Co., Inc.",0000310158,
Healthcare / pharma & medtech,TMO,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,
Healthcare / pharma & medtech,DHR,DHR,DANAHER CORP /DE/,0000313616,
Healthcare / pharma & medtech,IQV,IQV,IQVIA HOLDINGS INC.,0001478242,
Healthcare / pharma & medtech,ABT,ABT,ABBOTT LABORATORIES,0000001800,
Healthcare / pharma & medtech,BSX,BSX,BOSTON SCIENTIFIC CORP,0000885725,
Healthcare / pharma & medtech,SYK,SYK,STRYKER CORP,0000310764,
Healthcare / pharma & medtech,ISRG,ISRG,INTUITIVE SURGICAL INC,0001035267,
Airlines / aerospace / logistics,DAL,DAL,"DELTA AIR LINES, INC.",0000027904,
Airlines / aerospace / logistics,UAL,UAL,"United Airlines Holdings, Inc.",0000100517,
Airlines / aerospace / logistics,LUV,LUV,SOUTHWEST AIRLINES CO,0000092380,
Airlines / aerospace / logistics,FDX,FDX,FEDEX CORP,0001048911,
Airlines / aerospace / logistics,UPS,UPS,UNITED PARCEL SERVICE INC,0001090727,
Airlines / aerospace / logistics,BA,BA,BOEING CO,0000012927,
Airlines / aerospace / logistics,RTX,RTX,RTX Corp,0000101829,
Airlines / aerospace / logistics,GE,GE,GENERAL ELECTRIC CO,0000040545,
Airlines / aerospace / logistics,TDG,TDG,TransDigm Group INC,0001260221,
Airlines / aerospace / logistics,NOC,NOC,NORTHROP GRUMMAN CORP /DE/,0001133421,
Airlines / aerospace / logistics,LMT,LMT,LOCKHEED MARTIN CORP,0000936468,
Financials / payments,JPM,JPM,JPMORGAN CHASE & CO,0000019617,
Financials / payments,BAC,BAC,BANK OF AMERICA CORP /DE/,0000070858,
Financials / payments,GS,GS,GOLDMAN SACHS GROUP INC,0000886982,
Financials / payments,MS,MS,MORGAN STANLEY,0000895421,
Financials / payments,V,V,VISA INC.,0001403161,
Financials / payments,MA,MA,Mastercard Inc,0001141391,
Financials / payments,AXP,AXP,AMERICAN EXPRESS CO,0000004962,
Financials / payments,SCHW,SCHW,SCHWAB CHARLES CORP,0000316709,
Financials / payments,PYPL,PYPL,"PayPal Holdings, Inc.",0001633917,
Financials / payments,COF,COF,CAPITAL ONE FINANCIAL CORP,0000927628,
Financials / payments,SYF,SYF,Synchrony Financial,0001601712,
